Location,Video_code,Video_name,Observer,Group,Code,Species,Family
LaPaz,CEC_10Oct18_2de7,CEC_GPR_10Oct18_2de7,Alexia,Fish,mar,Muraena argus,Muraenidae
LaPaz,CEC_10Oct18_4de7,CEC_GPR_10Oct18_4de7,Alexia,Fish,sgu,Scorpaena guttata,Scorpenidae
LaPaz,CEC_10Oct18_4de7,CEC_GPR_10Oct18_4de7,Alexia,Fish,lfa,Liopropoma fasciatum,Serranidae
LaPaz,CEC_10Oct18_4de7,CEC_GPR_10Oct18_4de7,Hollarsmith,Fish,ljo,Lutjanus jordani,Lutjanidae
LaPaz,CEC_10Oct18_4de7,CEC_GPR_10Oct18_4de7,Hollarsmith,Fish,pse,Pristigenys serrula,Priacanthidae
LaPaz,CEC_10Oct18_4de7,CEC_GPR_10Oct18_4de7,Hollarsmith,Fish,hal,Halichoeres sp.,Labridae
LaPaz,CEC_10Oct18_4de7,CEC_GPR_10Oct18_4de7,Hollarsmith,Fish,pfa,Prognathodes falcifer ,Chaetodontidae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Invert,Urt,Urotrygon sp.,Urotrygonidae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Fish,ljo,Lutjanus jordani,Lutjanidae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Fish,pfa,Prognathodes falcifer ,Chaetodontidae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Fish,pse,Pristigenys serrula,Priacanthidae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Fish,lfa,Liopropoma fasciatum,Serranidae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Fish,Ste,Stegastes sp.,Pomacentridae
LaPaz,CEC_10Oct18_5de7,CEC_GPR_10Oct18_5de7,Hollarsmith,Fish,Slac,Synodus lacertinus,Synodontidae
LaPaz,CEC_10Oct18_6de7,CEC_GPR_10Oct18_6de7,Alexia,Fish,pfa,Prognathodes falcifer ,Chaetodontidae
LaPaz,CEC_10Oct18_6de7,CEC_GPR_10Oct18_6de7,Hollarsmith,Fish,lfa,Liopropoma fasciatum,Serranidae
LaPaz,CEC_10Oct18_6de7,CEC_GPR_10Oct18_6de7,Hollarsmith,Fish,pse,Pristigenys serrula,Priacanthidae
LaPaz,CEC_10Oct18_6de7,CEC_GPR_10Oct18_6de7,Hollarsmith,Fish,ljo,Lutjanus jordani,Lutjanidae
LaPaz,CEC_10Oct18_7de7,CEC_GPR_10Oct18_7de7,Manuel,Fish,Pfa,Prognathodes falcifer ,Chaetodontidae
LaPaz,CEC_10Oct18_7de7,CEC_GPR_10Oct18_7de7,Manuel,Fish,Pse,Pristigenys serrula,Priacanthidae
LaPaz,CEC_10Oct18_7de7,CEC_GPR_10Oct18_7de7,Manuel,Fish,Ljo,Lutjanus jordani,Lutjanidae
LaPaz,CEC_10Oct18_2de7,CEC_ROV_10Oct18_2de7,Manuel,Fish,mar,Muraena argus,Muraenidae
LaPaz,CEC_10Oct18_3de7,CEC_ROV_10Oct18_3de7,Manuel,Fish,Sri,Seriola rivoliana,Carangidae
LaPaz,CEC_10Oct18_4de7,CEC_ROV_10Oct18_4de7,Hollarsmith,Fish,ljo,Lutjanus jordani,Lutjanidae
LaPaz,CEC_10Oct18_4de7,CEC_ROV_10Oct18_4de7,Hollarsmith,Fish,sgu,Scorpaena guttata,Scorpenidae
LaPaz,CEC_10Oct18_4de7,CEC_ROV_10Oct18_4de7,Hollarsmith,Fish,pse,Pristigenys serrula,Priacanthidae
LaPaz,CEC_10Oct18_5de7,CEC_ROV_10Oct18_5de7,Hollarsmith,Invert,urt,Urotrygon sp.,Urotrygonidae
LaPaz,CEC_10Oct18_5de7,CEC_ROV_10Oct18_5de7,Hollarsmith,Fish,ljo,Lutjanus jordani,Lutjanidae
LaPaz,CEC_10Oct18_5de7,CEC_ROV_10Oct18_5de7,Hollarsmith,Fish,pfa,Prognathodes falcifer ,Chaetodontidae
LaPaz,CEC_10Oct18_5de7,CEC_ROV_10Oct18_5de7,Hollarsmith,Fish,pse,Pristigenys serrula,Priacanthidae
LaPaz,CEC_10Oct18_5de7,CEC_ROV_10Oct18_5de7,Hollarsmith,Fish,ste,Stegastes sp.,Pomacentridae
LaPaz,CEC_10Oct18_6de7,CEC_ROV_10Oct18_6de7,Hollarsmith,Fish,pfa,Prognathodes falcifer ,Chaetodontidae
LaPaz,CEC_10Oct18_6de7,CEC_ROV_10Oct18_6de7,Hollarsmith,Fish,Pse,Pristigenys serrula,Priacanthidae
